보험회사,상품명,구분,담보명(급부명),지급사유,지급금액,가입금액,기준보험료,가입보험료,적용이율,갱신구분,판매채널,기준일자,상세안내,연락처,source_file,원본_열_0,원본_열_1,원본_열_2,원본_열_3,원본_열_4,원본_열_5,원본_열_6,원본_열_7,원본_열_8,원본_열_9,원본_열_10,원본_열_11,원본_열_12,원본_열_13,원본_열_14,원본_열_15,원본_열_16,원본_열_17,원본_열_18,원본_열_19,원본_열_20,원본_열_21,원본_열_22,원본_열_23,원본_열_24,원본_열_25,원본_열_26,원본_열_27,원본_열_28,원본_열_29
흥국생명,(무)흥국생명언제나안심암보험2602(해약환급금일부지급형),주계약,표적항암약물 허가치료보험금,"피보험자가 보험기간 중 암보장개시일(다만, 갑상선암, 기타피부암의 경우 보장개시일) 이후에 암, 갑상선암 또는 기타피부암으로 진단확정되고 그 암, 갑상선암 또는 기타피부암의 직접적인 치료를 목적으로 표적항 암약물허가치료를 받았을 때 (다만, 최초 1회에 한함)",1년미만 보험가입금액의 125% / 1년이후 보험가입금액의 250%,"3,000만원",111900  원,"82,800  원",,,,,,,file_13.xls,흥국생명,(무)흥국생명언제나안심암보험2602(해약환급금일부지급형),주계약,표적항암약물 허가치료보험금,"피보험자가 보험기간 중 암보장개시일(다만, 갑상선암, 기타피부암의 경우 보장개시일) 이후에 암, 갑상선암 또는 기타피부암으로 진단확정되고 그 암, 갑상선암 또는 기타피부암의 직접적인 치료를 목적으로 표적항 암약물허가치료를 받았을 때 (다만, 최초 1회에 한함)",1년미만 보험가입금액의 125% / 1년이후 보험가입금액의 250%,"3,000만원",111900  원,"82,800  원",2.75 %,-,-,93.8 %,98.9 %,104.8 %,-,-,-,-,-,순수보장,비갱신형,비유니버셜,대면채널  방카슈랑스  CM,2026-02-08,"1. 가입나이: 만15세 ~ 70세 2. 보험기간: 90세만기,100세만기,110세만기 3. 보험료 예시 및 보험가격지수 산출기준: 3형(해약환급금일부지급형), 가입금액 3,000만원, 40세, 90세만기, 20년납, 월납 4. 보장범위지수 산출기준: 3형(해약환급금일부지급형), 남자 40세, 10년만기, 전기납, 월납",1588-2288,,,
흥국생명,(무)흥국생명언제나안심암보험2602(해약환급금일부지급형),주계약,카티항암약물 허가치료보험금,"피보험자가 보험기간 중 암보장개시일(다만, 갑상선암, 기타피부암의 경우 보장개시일) 이후에 암, 갑상선암 또는 기타피부암으로 진단 확정되고 그 암, 갑상선암 또는 기타피부암의 직접적인 치료를 목적으로 카티항 암약물허가치료를 받았을 때 (다만, 최초 1회에 한함)",1년미만 보험가입금액의 125% / 1년이후 보험가입금액의 250%,"3,000만원",111900  원,"82,800  원",,,,,,,file_13.xls,흥국생명,(무)흥국생명언제나안심암보험2602(해약환급금일부지급형),주계약,카티항암약물 허가치료보험금,"피보험자가 보험기간 중 암보장개시일(다만, 갑상선암, 기타피부암의 경우 보장개시일) 이후에 암, 갑상선암 또는 기타피부암으로 진단 확정되고 그 암, 갑상선암 또는 기타피부암의 직접적인 치료를 목적으로 카티항 암약물허가치료를 받았을 때 (다만, 최초 1회에 한함)",1년미만 보험가입금액의 125% / 1년이후 보험가입금액의 250%,"3,000만원",111900  원,"82,800  원",2.75 %,-,-,93.8 %,98.9 %,104.8 %,-,-,-,-,-,순수보장,비갱신형,비유니버셜,대면채널  방카슈랑스  CM,2026-02-08,"1. 가입나이: 만15세 ~ 70세 2. 보험기간: 90세만기,100세만기,110세만기 3. 보험료 예시 및 보험가격지수 산출기준: 3형(해약환급금일부지급형), 가입금액 3,000만원, 40세, 90세만기, 20년납, 월납 4. 보장범위지수 산출기준: 3형(해약환급금일부지급형), 남자 40세, 10년만기, 전기납, 월납",1588-2288,,,
흥국생명,(무)흥국생명언제나안심암보험2602,주계약,표적항암약물 허가치료보험금,"피보험자가 보험기간 중 암보장개시일(다만, 갑상선암, 기타피부암의 경우 보장개시일) 이후에 암, 갑상선암 또는 기타피부암으로 진단확정되고 그 암, 갑상선암 또는 기타피부암의 직접적인 치료를 목적으로 표적항 암약물허가치료를 받았을 때 (다만, 최초 1회에 한함)",1년미만 보험가입금액의 125% / 1년이후 보험가입금액의 250%,"3,000만원",123300  원,"88,800  원",,,,,,,file_13.xls,흥국생명,(무)흥국생명언제나안심암보험2602,주계약,표적항암약물 허가치료보험금,"피보험자가 보험기간 중 암보장개시일(다만, 갑상선암, 기타피부암의 경우 보장개시일) 이후에 암, 갑상선암 또는 기타피부암으로 진단확정되고 그 암, 갑상선암 또는 기타피부암의 직접적인 치료를 목적으로 표적항 암약물허가치료를 받았을 때 (다만, 최초 1회에 한함)",1년미만 보험가입금액의 125% / 1년이후 보험가입금액의 250%,"3,000만원",123300  원,"88,800  원",2.75 %,-,-,90.8 %,97.1 %,109.1 %,-,-,-,-,-,순수보장,비갱신형,비유니버셜,대면채널  방카슈랑스  CM,2026-02-08,"1. 가입나이: 만15세 ~ 70세 2. 보험기간: 90세만기,100세만기,110세만기 3. 보험료 예시 및 보험가격지수 산출기준: 2형(표준형), 가입금액 3,000만원, 40세, 90세만기, 20년납, 월납 4. 보장범위지수 산출기준: 2형(표준형), 남자 40세, 10년만기, 전기납, 월납",1588-2288,,,
흥국생명,(무)흥국생명언제나안심암보험2602,주계약,카티항암약물 허가치료보험금,"피보험자가 보험기간 중 암보장개시일(다만, 갑상선암, 기타피부암의 경우 보장개시일) 이후에 암, 갑상선암 또는 기타피부암으로 진단 확정되고 그 암, 갑상선암 또는 기타피부암의 직접적인 치료를 목적으로 카티항 암약물허가치료를 받았을 때 (다만, 최초 1회에 한함)",1년미만 보험가입금액의 125% / 1년이후 보험가입금액의 250%,"3,000만원",123300  원,"88,800  원",,,,,,,file_13.xls,흥국생명,(무)흥국생명언제나안심암보험2602,주계약,카티항암약물 허가치료보험금,"피보험자가 보험기간 중 암보장개시일(다만, 갑상선암, 기타피부암의 경우 보장개시일) 이후에 암, 갑상선암 또는 기타피부암으로 진단 확정되고 그 암, 갑상선암 또는 기타피부암의 직접적인 치료를 목적으로 카티항 암약물허가치료를 받았을 때 (다만, 최초 1회에 한함)",1년미만 보험가입금액의 125% / 1년이후 보험가입금액의 250%,"3,000만원",123300  원,"88,800  원",2.75 %,-,-,90.8 %,97.1 %,109.1 %,-,-,-,-,-,순수보장,비갱신형,비유니버셜,대면채널  방카슈랑스  CM,2026-02-08,"1. 가입나이: 만15세 ~ 70세 2. 보험기간: 90세만기,100세만기,110세만기 3. 보험료 예시 및 보험가격지수 산출기준: 2형(표준형), 가입금액 3,000만원, 40세, 90세만기, 20년납, 월납 4. 보장범위지수 산출기준: 2형(표준형), 남자 40세, 10년만기, 전기납, 월납",1588-2288,,,
흥국생명,(무)흥국생명언제나안심암보험2602(해약환급금미지급형V2),주계약,표적항암약물 허가치료보험금,"피보험자가 보험기간 중 암보장개시일(다만, 갑상선암, 기타피부암의 경우 보장개시일) 이후에 암, 갑상선암 또는 기타피부암으로 진단확정되고 그 암, 갑상선암 또는 기타피부암의 직접적인 치료를 목적으로 표적항 암약물허가치료를 받았을 때 (다만, 최초 1회에 한함)",1년미만 보험가입금액의 125% / 1년이후 보험가입금액의 250%,"3,000만원",100500  원,"76,800  원",,,,,,,file_13.xls,흥국생명,(무)흥국생명언제나안심암보험2602(해약환급금미지급형V2),주계약,표적항암약물 허가치료보험금,"피보험자가 보험기간 중 암보장개시일(다만, 갑상선암, 기타피부암의 경우 보장개시일) 이후에 암, 갑상선암 또는 기타피부암으로 진단확정되고 그 암, 갑상선암 또는 기타피부암의 직접적인 치료를 목적으로 표적항 암약물허가치료를 받았을 때 (다만, 최초 1회에 한함)",1년미만 보험가입금액의 125% / 1년이후 보험가입금액의 250%,"3,000만원",100500  원,"76,800  원",2.75 %,-,-,93.0 %,98.0 %,109.5 %,-,-,-,-,-,순수보장,비갱신형,비유니버셜,대면채널  방카슈랑스  CM,2026-02-08,"1. 가입나이: 만15세 ~ 70세 2. 보험기간: 90세만기,100세만기,110세만기 3. 보험료 예시 및 보험가격지수 산출기준: 1형(해약환급금미지급형V2), 가입금액 3,000만원, 40세, 90세만기, 20년납, 월납 4. 보장범위지수 산출기준: 1형(해약환급금미지급형V2), 남자 40세, 10년만기, 전기납, 월납",1588-2288,,,
흥국생명,(무)흥국생명언제나안심암보험2602(해약환급금미지급형V2),주계약,카티항암약물 허가치료보험금,"피보험자가 보험기간 중 암보장개시일(다만, 갑상선암, 기타피부암의 경우 보장개시일) 이후에 암, 갑상선암 또는 기타피부암으로 진단 확정되고 그 암, 갑상선암 또는 기타피부암의 직접적인 치료를 목적으로 카티항 암약물허가치료를 받았을 때 (다만, 최초 1회에 한함)",1년미만 보험가입금액의 125% / 1년이후 보험가입금액의 250%,"3,000만원",100500  원,"76,800  원",,,,,,,file_13.xls,흥국생명,(무)흥국생명언제나안심암보험2602(해약환급금미지급형V2),주계약,카티항암약물 허가치료보험금,"피보험자가 보험기간 중 암보장개시일(다만, 갑상선암, 기타피부암의 경우 보장개시일) 이후에 암, 갑상선암 또는 기타피부암으로 진단 확정되고 그 암, 갑상선암 또는 기타피부암의 직접적인 치료를 목적으로 카티항 암약물허가치료를 받았을 때 (다만, 최초 1회에 한함)",1년미만 보험가입금액의 125% / 1년이후 보험가입금액의 250%,"3,000만원",100500  원,"76,800  원",2.75 %,-,-,93.0 %,98.0 %,109.5 %,-,-,-,-,-,순수보장,비갱신형,비유니버셜,대면채널  방카슈랑스  CM,2026-02-08,"1. 가입나이: 만15세 ~ 70세 2. 보험기간: 90세만기,100세만기,110세만기 3. 보험료 예시 및 보험가격지수 산출기준: 1형(해약환급금미지급형V2), 가입금액 3,000만원, 40세, 90세만기, 20년납, 월납 4. 보장범위지수 산출기준: 1형(해약환급금미지급형V2), 남자 40세, 10년만기, 전기납, 월납",1588-2288,,,
교보생명,교보간편통합암보험 [D](무배당),특약,무배당 표적항암약물허가치료특약(간편가입/갱신형)2형,"피보험자가 이 특약의 보험기간 중 암보장개시일 이후에 “암”으로 진단 확정되거나 보장개시일 이후에 “기타피부암” 또는 “갑상선암”으로 진단 확정되고, 그 “암”, “기타피부암” 또는 “갑상선암”의 직접적인 치료를 목적으로 “표적항암약물허가치료”를 받은 경우(다만, 최초 1회에 한함)","2년이상 1,000만원 2년미만 500만원","1,000만원",890  원,"1,540  원",,,,,,,file_13.xls,교보생명,교보간편통합암보험 [D](무배당),특약,무배당 표적항암약물허가치료특약(간편가입/갱신형)2형,"피보험자가 이 특약의 보험기간 중 암보장개시일 이후에 “암”으로 진단 확정되거나 보장개시일 이후에 “기타피부암” 또는 “갑상선암”으로 진단 확정되고, 그 “암”, “기타피부암” 또는 “갑상선암”의 직접적인 치료를 목적으로 “표적항암약물허가치료”를 받은 경우(다만, 최초 1회에 한함)","2년이상 1,000만원 2년미만 500만원","1,000만원",890  원,"1,540  원",2.50 %,-,-,95.1 %,95.6 %,79.3 %,-,-,-,-,-,무해지/저해지환급,비갱신형,비유니버셜,TM,2026-01-01,"■필수기재사항 1. 가입나이 : 15~최대80세(납입기간별로 상이함) 2. 보험기간 : 100세만기 3. 보험료 예시 : 주계약 저해약환급금형,가입금액 3,000만원, 40세, 20년납, 월납 특약 가입금액 1,000만원, 최초계약, 40세, 20년만기(갱신형), 전기월납,100세만기(비갱신형),저해약환급금형(비갱신형) (다만, 무배당 표적항암약물허가치료특약(간편가입/갱신형) 2형의 경우 10년만기(갱신형)) 4. 보장범위지수 산출시 개별상품 암진단 위험보험료는 암(기타피부암,대장점막내암,특정갑상선암,초기유방암(여성에 한함) 및 전립선암 제외) 진단보험금 1,000만원, 초기유방암(여성에 한함) 및 전립선암 진단보험금 400만원, 특정갑상선암, 양성뇌종양/경계성종양/기타피부암/대장점막내암/제자리암 진단보험금 200만원 기준으로 산출되었습니다. ■선택기재사항 1. 주계약 납입기간 : 5년납/10년납/15년납/20년납/25년납/30년납 2. 주계약 가입한도 : 100만원 ~ 10,000만원 3. 보험기간 종료일은 피보험자의 100세 계약해당일 4. 교보New헬스케어서비스 암특화형(R)",1588-1001,,,
교보생명,교보통합암보험 [D](무배당),특약,무배당 표적항암약물허가치료특약(갱신형)2형,"피보험자가 암보장개시일 이후에 “암”으로 진단 확정되거나 보장개시일 이후에 “기타피부암” 또는 “갑상선암”으로 진단 확정되고, 그 “암”, “기타피부암” 또는 “갑상선암”의 직접적인 치료를 목적으로 “표적항암약물허가치료”를 받은 경우(다만, 최초 1회에 한함)","2년이상 1,000만원 2년미만 500만원","1,000만원",590  원,"1,060  원",,,,,,,file_13.xls,교보생명,교보통합암보험 [D](무배당),특약,무배당 표적항암약물허가치료특약(갱신형)2형,"피보험자가 암보장개시일 이후에 “암”으로 진단 확정되거나 보장개시일 이후에 “기타피부암” 또는 “갑상선암”으로 진단 확정되고, 그 “암”, “기타피부암” 또는 “갑상선암”의 직접적인 치료를 목적으로 “표적항암약물허가치료”를 받은 경우(다만, 최초 1회에 한함)","2년이상 1,000만원 2년미만 500만원","1,000만원",590  원,"1,060  원",2.50 %,-,-,95.0 %,96.1 %,81.7 %,-,-,-,-,-,무해지/저해지환급,비갱신형,비유니버셜,TM,2026-01-01,"■필수기재사항 1. 가입나이 : 15~최대80세(납입기간별로 상이함) 2. 보험기간 : 100세만기 3. 보험료 예시 : 주계약 저해약환급금형,가입금액 3,000만원, 40세, 20년납, 월납 특약 가입금액 1,000만원, 최초계약, 40세, 20년만기(갱신형), 전기월납, 100세만기(비갱신형), 저해약환급금형(비갱신형) (다만, 무배당 표적항암약물허가치료특약(갱신형)2형의 경우 10년만기(갱신형)) 4. 보장범위지수 산출시 개별상품 암진단 위험보험료는 암(기타피부암,대장점막내암,특정갑상선암,초기유방암(여성에 한함) 및 전립선암 제외) 진단보험금 1,000만원, 초기유방암(여성에 한함) 및 전립선암 진단보험금 400만원, 특정갑상선암, 양성뇌종양/경계성종양/기타피부암/대장점막내암/제자리암 진단보험금 200만원 기준으로 산출되었습니다. ■선택기재사항 1. 주계약 납입기간 : 5년납/10년납/15년납/20년납/25년납/30년납 2. 주계약 가입한도 : 100만원 ~ 10,000만원 3. 보험기간 종료일은 피보험자의 100세 계약해당일 4. 교보New헬스케어서비스 암특화형",1588-1001,,,
교보생명,교보통합암보험 (무배당),특약,무배당 표적항암약물허가치료특약(갱신형)2형,"피보험자가 암보장개시일 이후에 “암”으로 진단 확정되거나 보장개시일 이후에 “기타피부암” 또는 “갑상선암”으로 진단 확정되고, 그 “암”, “기타피부암” 또는 “갑상선암”의 직접적인 치료를 목적으로 “표적항암약물허가치료”를 받은 경우(다만, 최초 1회에 한함)","2년이상 1,000만원 2년미만 500만원","1,000만원",590  원,"1,060  원",,,,,,,file_13.xls,교보생명,교보통합암보험 (무배당),특약,무배당 표적항암약물허가치료특약(갱신형)2형,"피보험자가 암보장개시일 이후에 “암”으로 진단 확정되거나 보장개시일 이후에 “기타피부암” 또는 “갑상선암”으로 진단 확정되고, 그 “암”, “기타피부암” 또는 “갑상선암”의 직접적인 치료를 목적으로 “표적항암약물허가치료”를 받은 경우(다만, 최초 1회에 한함)","2년이상 1,000만원 2년미만 500만원","1,000만원",590  원,"1,060  원",2.50 %,-,-,95.0 %,96.1 %,81.7 %,-,-,-,-,-,무해지/저해지환급,비갱신형,비유니버셜,대면채널,2026-01-01,"■필수기재사항 1. 가입나이 : 15~최대80세(납입기간별로 상이함) 2. 보험기간 : 100세만기 3. 보험료 예시 : 주계약 저해약환급금형,가입금액 3,000만원, 40세, 20년납, 월납 특약 가입금액 1,000만원, 최초계약, 40세, 20년만기(갱신형), 전기월납, 100세만기(비갱신형), 저해약환급금형(비갱신형) (다만, 무배당 표적항암약물허가치료특약(갱신형)2형의 경우 10년만기(갱신형)) 4. 보장범위지수 산출시 개별상품 암진단 위험보험료는 암(기타피부암,대장점막내암,특정갑상선암,초기유방암(여성에 한함) 및 전립선암 제외) 진단보험금 1,000만원, 초기유방암(여성에 한함) 및 전립선암 진단보험금 400만원, 특정갑상선암, 양성뇌종양/경계성종양/기타피부암/대장점막내암/제자리암 진단보험금 200만원 기준으로 산출되었습니다. ■선택기재사항 1. 주계약 납입기간 : 5년납/10년납/15년납/20년납/25년납/30년납 2. 주계약 가입한도 : 100만원 ~ 10,000만원 3. 보험기간 종료일은 피보험자의 100세 계약해당일 4. 교보New헬스케어서비스 암특화형",1588-1001,,,
교보생명,교보간편통합암보험 (무배당),특약,무배당 표적항암약물허가치료특약(간편가입/갱신형)2형,"피보험자가 이 특약의 보험기간 중 암보장개시일 이후에 “암”으로 진단 확정되거나 보장개시일 이후에 “기타피부암” 또는 “갑상선암”으로 진단 확정되고, 그 “암”, “기타피부암” 또는 “갑상선암”의 직접적인 치료를 목적으로 “표적항암약물허가치료”를 받은 경우(다만, 최초 1회에 한함)","2년이상 1,000만원 2년미만 500만원","1,000만원",890  원,"1,540  원",,,,,,,file_13.xls,교보생명,교보간편통합암보험 (무배당),특약,무배당 표적항암약물허가치료특약(간편가입/갱신형)2형,"피보험자가 이 특약의 보험기간 중 암보장개시일 이후에 “암”으로 진단 확정되거나 보장개시일 이후에 “기타피부암” 또는 “갑상선암”으로 진단 확정되고, 그 “암”, “기타피부암” 또는 “갑상선암”의 직접적인 치료를 목적으로 “표적항암약물허가치료”를 받은 경우(다만, 최초 1회에 한함)","2년이상 1,000만원 2년미만 500만원","1,000만원",890  원,"1,540  원",2.50 %,-,-,95.1 %,95.6 %,79.3 %,-,-,-,-,-,무해지/저해지환급,비갱신형,비유니버셜,대면채널,2026-01-01,"■필수기재사항 1. 가입나이 : 15~최대80세(납입기간별로 상이함) 2. 보험기간 : 100세만기 3. 보험료 예시 : 주계약 저해약환급금형,가입금액 3,000만원, 40세, 20년납, 월납 특약 가입금액 1,000만원, 최초계약, 40세, 20년만기(갱신형), 전기월납,100세만기(비갱신형),저해약환급금형(비갱신형) (다만, 무배당 표적항암약물허가치료특약(간편가입/갱신형) 2형의 경우 10년만기(갱신형)) 4. 보장범위지수 산출시 개별상품 암진단 위험보험료는 암(기타피부암,대장점막내암,특정갑상선암,초기유방암(여성에 한함) 및 전립선암 제외) 진단보험금 1,000만원, 초기유방암(여성에 한함) 및 전립선암 진단보험금 400만원, 특정갑상선암, 양성뇌종양/경계성종양/기타피부암/대장점막내암/제자리암 진단보험금 200만원 기준으로 산출되었습니다. ■선택기재사항 1. 주계약 납입기간 : 5년납/10년납/15년납/20년납/25년납/30년납 2. 주계약 가입한도 : 100만원 ~ 10,000만원 3. 보험기간 종료일은 피보험자의 100세 계약해당일 4. 교보New헬스케어서비스 암특화형(R)",1588-1001,,,
교보생명,"교보간편암보험 [D2408](무배당,갱신형)",특약,무배당 표적항암약물허가치료특약(간편가입/갱신형) 2형,"피보험자가 암보장개시일 이후에 “암”으로 진단확정되거나 보장개시일 이후에 “기타피부암” 또는 “갑상선암”으로 진단 확정되고, 그 “암”, “기타피부암” 또는 “갑상선암”의 직접적인 치료를 목적으로 “표적항암약물허가치료”를 받은 경우(다만, 최초 1회에 한함)","1,000만원(최초계약의 계약일부터 2년 미만에 보험금 지급사유가 발생한 경우 50% 감액 지급)","1,000만원",890  원,"1,540  원",,,,,,,file_13.xls,교보생명,"교보간편암보험 [D2408](무배당,갱신형)",특약,무배당 표적항암약물허가치료특약(간편가입/갱신형) 2형,"피보험자가 암보장개시일 이후에 “암”으로 진단확정되거나 보장개시일 이후에 “기타피부암” 또는 “갑상선암”으로 진단 확정되고, 그 “암”, “기타피부암” 또는 “갑상선암”의 직접적인 치료를 목적으로 “표적항암약물허가치료”를 받은 경우(다만, 최초 1회에 한함)","1,000만원(최초계약의 계약일부터 2년 미만에 보험금 지급사유가 발생한 경우 50% 감액 지급)","1,000만원",890  원,"1,540  원",2.00 %,-,-,112.6 %,108.1 %,80.9 %,-,-,-,-,-,순수보장,갱신형,비유니버셜,TM,2025-04-01,"■필수기재사항 1.가입나이: 최초계약 - 15세 ~ 최대80세 (성별로 상이함), 갱신계약 - 35세 ~ 99세 2.보험기간: 최초계약 - 20년만기(갱신형) 갱신계약 - 1~20년만기(갱신형) 3.보험료 예시 : 주계약 가입금액 3,000만원, 최초계약, 40세, 20년만기(갱신형), 전기월납 특약 가입금액 1,000만원, 최초계약, 40세, 20년만기(갱신형), 전기월납 (다만, 무배당 표적항암약물허가치료특약(간편가입/갱신형)2형의 경우 10년만기(갱신형)) 4.보장범위지수 산출시 개별상품 암진단 위험보험료는 암(기타피부암,대장점막내암,특정갑상선암,초기유방암(여성에 한함) 및 전립선암 제외) 진단보험금 1,000만원, 초기유방암(여성에 한함) 및 전립선암 진단보험금 400만원, 특정갑상선암, 양성뇌종양/경계성종양/기타피부암/대장점막내암/제자리암 진단보험금 200만원 기준으로 산출되었습니다. ■선택기재사항 1. 간편심사보험 2. 납입기간 : 전기월납 3. 주계약 가입한도 : 1,000만원 ~ 10,000만원 4. 최종 갱신계약의 보험기간 종료일은 피보험자의 100세 계약해당일 5. 교보New헬스케어서비스(암특화형)",1588-1001,,,
교보생명,"교보암보험 [D2408](무배당,갱신형)",특약,무배당 표적항암약물허가치료특약(갱신형) 2형,"피보험자가 암보장개시일 이후에 “암”으로 진단확정되거나 보장개시일 이후에 “기타피부암” 또는 “갑상선암”으로 진단 확정되고, 그 “암”, “기타피부암” 또는 “갑상선암”의 직접적인 치료를 목적으로 “표적항암약물허가치료”를 받은 경우(다만, 최초 1회에 한함)","1,000 만원(최초계약의 계약일부터 2년 미만에 보험금 지급사유가 발생한 경우 50% 감액 지급)","1,000만원",590  원,"1,060  원",,,,,,,file_13.xls,교보생명,"교보암보험 [D2408](무배당,갱신형)",특약,무배당 표적항암약물허가치료특약(갱신형) 2형,"피보험자가 암보장개시일 이후에 “암”으로 진단확정되거나 보장개시일 이후에 “기타피부암” 또는 “갑상선암”으로 진단 확정되고, 그 “암”, “기타피부암” 또는 “갑상선암”의 직접적인 치료를 목적으로 “표적항암약물허가치료”를 받은 경우(다만, 최초 1회에 한함)","1,000 만원(최초계약의 계약일부터 2년 미만에 보험금 지급사유가 발생한 경우 50% 감액 지급)","1,000만원",590  원,"1,060  원",2.00 %,-,-,116.4 %,110.5 %,82.8 %,-,-,-,-,-,순수보장,갱신형,비유니버셜,TM,2025-04-01,"■필수기재사항 1.가입나이: 최초계약 - 15세 ~ 최대80세 (성별로 상이함), 갱신계약 - 35세 ~ 99세 2.보험기간: 최초계약 - 20년만기(갱신형) 갱신계약 - 1~20년만기(갱신형) 3.보험료 예시 : 주계약 가입금액 3,000만원, 40세, 최초계약, 40세, 20년만기(갱신형), 전기월납 특약 가입금액 1,000만원, 최초계약, 40세, 20년만기(갱신형), 전기월납 (다만, 무배당 표적항암약물허가치료특약(갱신형)2형의 경우 10년만기(갱신형)) 4.보장범위지수 산출시 개별상품 암진단 위험보험료는 암(기타피부암,대장점막내암,특정갑상선암,초기유방암(여성에 한함) 및 전립선암 제외) 진단보험금 1,000만원, 초기유방암(여성에 한함) 및 전립선암 진단보험금 400만원, 특정갑상선암, 양성뇌종양/경계성종양/기타피부암/대장점막내암/제자리암 진단보험금 200만원 기준으로 산출되었습니다. ■선택기재사항 1. 납입기간 : 전기월납 2. 주계약 가입한도 : 1,000만원 ~ 10,000만원 3. 최종 갱신계약의 보험기간 종료일은 피보험자의 100세 계약해당일 4. 교보New헬스케어서비스(암특화형)",1588-1001,,,
미래에셋생명,온라인 암보험 무배당 [해약환급금이 없는 유형],특약,온라인 암보험 무배당 표적항암약물허가치료특약(갱신형),"피보험자가 이 특약의 보험기간 중 암보장개시일 이후에 ‘암’으로 진단 확정되거나, 이 특약의 보험기간 중 ‘기타피부암’, ‘갑상선암(중증갑상선암 제외)’, ‘대장점막내암’ 또는 ‘비침습방광암’으로 진단 확정 되고 그 ‘암’, ‘기타피부암’, ‘갑상선암(중증갑상선암 제외)’, ‘대장점막내암’ 또는 ‘비침습방광암’의 치료를 직접적인 목적으로 ‘표적항암약물허가치료’를 받은 경우 (다만, 최초 1회에 한하여 지급)","최초계약의 최초 계약일로부터 1년 미만 : 이 특약 보험가입금액의 50% 최초계약의 최초 계약일로부터 1년 이후, 갱신계약 : 이 특약 보험가입금액의 100%","2,000만원",740  원,"1,040  원",,,,,,,file_13.xls,미래에셋생명,온라인 암보험 무배당 [해약환급금이 없는 유형],특약,온라인 암보험 무배당 표적항암약물허가치료특약(갱신형),"피보험자가 이 특약의 보험기간 중 암보장개시일 이후에 ‘암’으로 진단 확정되거나, 이 특약의 보험기간 중 ‘기타피부암’, ‘갑상선암(중증갑상선암 제외)’, ‘대장점막내암’ 또는 ‘비침습방광암’으로 진단 확정 되고 그 ‘암’, ‘기타피부암’, ‘갑상선암(중증갑상선암 제외)’, ‘대장점막내암’ 또는 ‘비침습방광암’의 치료를 직접적인 목적으로 ‘표적항암약물허가치료’를 받은 경우 (다만, 최초 1회에 한하여 지급)","최초계약의 최초 계약일로부터 1년 미만 : 이 특약 보험가입금액의 50% 최초계약의 최초 계약일로부터 1년 이후, 갱신계약 : 이 특약 보험가입금액의 100%","2,000만원",740  원,"1,040  원",2.25 %,-,-,105.6 %,105.2 %,84.7 %,-,-,-,-,-,무해지/저해지환급,비갱신형,비유니버셜,CM,2026-02-01,"1. 보험기간 : 80, 90, 100세 만기(기본형, 해약환급금이 없는 유형), 10년 만기(갱신형 최초계약), 5년 만기, 100세 만기(갱신형 갱신계약) 2. 보험종류 : 기본형, 해약환급금이 없는 유형, 갱신형 3. 가입나이 : 0 ~ 60세(기본형, 해약환급금이 없는 유형, 갱신형 최초계약), 10 ~ 99세(갱신형 갱신계약) 4. 납입기간 : 10,15,20, 25, 30년납, 전기납 5. 납입주기 : 월납 6. 보험가격지수 산출기준 : 해약환급금이 없는 유형, 가입금액 3,000만원, 40세, 80세만기, 20년납, 월납 7. 보험료 산출기준 : 해약환급금이 없는 유형, 가입금액 3,000만원, 40세, 80세만기, 20년납, 월납 8. 보장범위지수 산출기준 : 남자, 40세, 10년만기, 10년납, 월납 (위험보험료 진단금 기준 : 일반암 1,000만원, 여성유방암 또는 전립선암 200만원, 유사암(기타피부암, 갑상선암(중증갑상선암 제외), 대장점막내암, 비침습방광암, 제자리암 및 경계성종양) 100만원) 9. 특약 보험기간, 납입기간:  - 해약환급금이 없는 유형: 80세만기, 20년납  - 갱신형: 10년만기, 10년납 10. 특이사항 : 「온라인 암보험 무배당」은 주계약의 암진단보험금을 중심으로 고액암진단 및 각종 항암치료관련 특약을 부가해 암진단부터 암치료까지 폭넓은 보장을 설계할 수 있는 상품입니다.",1588-0220,,,
