보험회사,상품명,구분,담보명(급부명),지급사유,지급금액,가입금액,기준보험료,가입보험료,적용이율,갱신구분,판매채널,기준일자,상세안내,연락처,source_file,원본_열_0,원본_열_1,원본_열_2,원본_열_3,원본_열_4,원본_열_5,원본_열_6,원본_열_7,원본_열_8,원본_열_9,원본_열_10,원본_열_11,원본_열_12,원본_열_13,원본_열_14,원본_열_15,원본_열_16,원본_열_17,원본_열_18,원본_열_19,원본_열_20,원본_열_21,원본_열_22,원본_열_23,원본_열_24,원본_열_25,원본_열_26,원본_열_27,원본_열_28,원본_열_29
미래에셋생명,미래에셋생명 변액종신보험 무배당 미담,특약,납입면제특약W 무배당 [2대질병 납입면제형] (일반가입형),피보험자가 이 특약의 보험기간 중 뇌출혈 또는 급성심근경색증으로 진단확정된 경우,"주계약, 주계약에 부가된 특약 및 이 특약의 다음 회 이후의 보험료 납입면제",0만원,"7,617 원","2,307 원",168.5 %,172.8 %,%,%,%,%,file_0.xls,미래에셋생명,미래에셋생명 변액종신보험 무배당 미담,특약,납입면제특약W 무배당 [2대질병 납입면제형] (일반가입형),피보험자가 이 특약의 보험기간 중 뇌출혈 또는 급성심근경색증으로 진단확정된 경우,"주계약, 주계약에 부가된 특약 및 이 특약의 다음 회 이후의 보험료 납입면제",0만원,"7,617 원","2,307 원",168.5 %,172.8 %,%,%,%,%,기본형,일반,,비유니버셜,대면채널,2026-01-01,"1. 보험기간 : 종신 2. 보험종류 : - 보장형 계약 : 일반가입형/간편고지형 - 적립형 계약 3. 가입나이 : 만15세 ~ 70세(보장형 계약), 만15세 ~ 70세(적립형 계약) 4. 납입기간 : 7,10,15년납 5. 납입주기 : 월납 6. 보험가격지수 산출기준 : [보장형계약] 일반가입형, 40세, 월납, 종신, 15년납, 가입금액 10,000만원 7. 보험료 산출기준 : [보장형계약] 일반가입형, 40세, 월납, 종신, 15년납, 생활자금 개시나이 65세&지급기간 20년, 가입금액 10,000만원 8. 특약 보험기간, 납입기간 : 15년(주계약 납입기간)만기, 전기납 9. 특이사항 : 「미래에셋생명 변액종신보험 무배당 미담」은 계약자가 납입한 보험료의 일부로 펀드를 구성하고 그 운용실적에 따라 계약자에게 투자이익을 배분함으로써 보험기간 중에 보험금 및 해약환급금 등이 변동하는 변액보험의 특징과 보험료의 입출금이 유연한 유니버셜보험의 특징을 접목시킨 종합금융형상품인 동시에 평생을 보장해드리는 종신보험입니다.",1588-0220,,,,,,,
미래에셋생명,미래에셋생명 변액종신보험 무배당 미래의 약속,특약,납입면제특약W 무배당 [2대질병 납입면제형] (일반가입형),피보험자가 이 특약의 보험기간 중 뇌출혈 또는 급성심근경색증으로 진단확정된 경우,"주계약, 주계약에 부가된 특약 및 이 특약의 다음 회 이후의 보험료 납입면제",0만원,"5,923 원","1,704 원",109.9 %,107.8 %,%,%,%,%,file_0.xls,미래에셋생명,미래에셋생명 변액종신보험 무배당 미래의 약속,특약,납입면제특약W 무배당 [2대질병 납입면제형] (일반가입형),피보험자가 이 특약의 보험기간 중 뇌출혈 또는 급성심근경색증으로 진단확정된 경우,"주계약, 주계약에 부가된 특약 및 이 특약의 다음 회 이후의 보험료 납입면제",0만원,"5,923 원","1,704 원",109.9 %,107.8 %,%,%,%,%,기본형,일반,,비유니버셜,대면채널 기타,2026-01-01,"1. 보험기간 : 종신 2. 보험종류 : - 보장형 계약 일반가입형 : 생활자금 지급기간 20년 / 생활자금 지급기간 10년 간편고지형 : 생활자금 지급기간 20년 / 생활자금 지급기간 10년 - 적립형 계약 3. 가입나이 : 만15세 ~ 75세(보장형 계약), 만15세 ~ 70세(적립형 계약) 4. 납입기간 : 5,7,10,15,20,25,30년납, 55,60,65,70,80세납 5. 납입주기 : 월납 6. 보험가격지수 산출기준 : 일반가입형(생활자금 지급기간 20년), 40세, 월납, 종신, 20년납, 가입금액 10,000만원 7. 보험료 산출기준 : 일반가입형(생활자금 지급기간 20년), 40세, 월납, 종신, 20년납, 생활자금 개시나이 65세, 가입금액 10,000만원(고액계약 보험료 할인 적용) 8. 특약 보험기간, 납입기간 : 20년(주계약 납입기간)만기, 전기납 9. 특이사항 : 「미래에셋생명 변액종신보험 무배당 미래의 약속」은 계약자가 납입한 보험료의 일부로 펀드를 구성하고 그 운용실적에 따라 계약자에게 투자이익을 배분함으로써 보험기간 중에 보험금 및 해약환급금 등이 변동하는 변액보험의 특징과 보험료의 입출금이 유연한 유니버셜보험의 특징을 접목시킨 종합금융형상품인 동시에 평생을 보장해드리는 종신보험입니다.",1588-0220,,,,,,,
미래에셋생명,미래에셋생명 헤리티지 변액유니버셜종신보험 무배당,특약,허혈성심장질환진단특약W 무배당,"피보험자가 이 특약의 보험기간 중 ‘허혈성심장질환’으로 진단확정된 경우 (다만, 최초 1회에 한하여 지급)",최초 계약일로부터 1년 미만 : 이 특약 보험가입금액의 50% 최초 계약일로부터 1년 이후 : 이 특약 보험가입금액의 100%,1000만원,"12,540 원","8,960 원",97.5 %,93.7 %,%,%,%,%,file_0.xls,미래에셋생명,미래에셋생명 헤리티지 변액유니버셜종신보험 무배당,특약,허혈성심장질환진단특약W 무배당,"피보험자가 이 특약의 보험기간 중 ‘허혈성심장질환’으로 진단확정된 경우 (다만, 최초 1회에 한하여 지급)",최초 계약일로부터 1년 미만 : 이 특약 보험가입금액의 50% 최초 계약일로부터 1년 이후 : 이 특약 보험가입금액의 100%,1000만원,"12,540 원","8,960 원",97.5 %,93.7 %,%,%,%,%,기본형,일반,비갱신형,유니버셜,대면채널 기타,2026-01-01,"1. 보험기간 : 종신 2. 보험종류 : 보장형 계약(일반가입형, 간편고지형), 적립형 계약 3. 가입나이 : 만15세 ~ 75세(보장형 계약), 만15세 ~ 70세(적립형 계약) 4. 납입기간 : 일시납, 5,7,10,15,20,25,30년납, 55,60,65,70,80세납 5. 납입주기 : 일시납, 월납 6. 보험가격지수 산출기준 : 일반가입형, 40세, 월납, 종신, 20년납, 가입금액 10,000만원 7. 보험료 산출기준 : 일반가입형, 40세, 월납, 종신, 20년납, 가입금액 10,000만원(고액계약 보험료 할인 적용) 8. 특약 보험료 산출기준 : 100세만기, 20년납, 월납 9. 특이사항 : 「미래에셋생명 헤리티지 변액유니버셜종신보험 무배당」은 계약자가 납입한 보험료의 일부로 펀드를 구성하고 그 운용실적에 따라 계약자에게 투자이익을 배분함으로써 보험기간 중에 보험금 및 해약환급금 등이 변동하는 변액보험의 특징과 보험료의 입출금이 유연한 유니버셜보험의 특징을 접목시킨 종합금융형상품인 동시에 평생을 보장해드리는 종신보험입니다.",1588-0220,,,,,,,
메트라이프생명,무배당 변액유니버셜 모두의상속종신보험(간편가입형),특약,무배당 간편급성심근경색증진단특약(갱신형),"피보험자가 약관 제 3 조 (특약의 보장개시일) 에서 정한 보장개시일 이후에 최초로“급성심근경색증”로 진단확정되었을 때 (다만, 1 회에 한하여 지급)","특약보험가입금액의 100 % 해당액 (다만, 최초계약의 1 년 미만에 진단확정시 50 % 해당액 지급)","1,000만원","1,520 원",220 원,80.7 %,79.8 %,%,%,%,%,file_0.xls,메트라이프생명,무배당 변액유니버셜 모두의상속종신보험(간편가입형),특약,무배당 간편급성심근경색증진단특약(갱신형),"피보험자가 약관 제 3 조 (특약의 보장개시일) 에서 정한 보장개시일 이후에 최초로“급성심근경색증”로 진단확정되었을 때 (다만, 1 회에 한하여 지급)","특약보험가입금액의 100 % 해당액 (다만, 최초계약의 1 년 미만에 진단확정시 50 % 해당액 지급)","1,000만원","1,520 원",220 원,80.7 %,79.8 %,%,%,%,%,기본형,일반,비갱신형,유니버셜,대면채널,2026-01-01,"1. 가입나이 : 30~75세(납기 및 급부형태에 따라 다름) 2. 가입금액 : 2,000만 ~ 10억(100만원 단위) 3. 기본보험료 최소의무납입기간 : 3년 4. 보험료예시기준 : 가입나이 : 40세 / 보험기간: 주계약(종신), 특약(20년) / 납입기간: 20년 / 가입금액: 주계약(1억원), 특약(1천만원) / 장기채권형 70% + 주식형 30% 기준 5. 보험가격지수 기준 : 20년납, 월납, 40세, 가입금액 1억 6. 보험기간 종신 7. 기타 : 계약일로부터 2년 미만에 재해 이외의 원인으로 사망 시 보험가입금액의 50% 지급",1588-9600,,,,,,,
신한라이프생명,신한멀티라이프변액유니버설종신보험(무배당),특약,[납입면제형]진심을품은14대보장특약(무배당),"특약보험기간 중 피보험자가 보장개시일(암의 경우 “암” 및 “중증 갑상선암” 보장개시일) 이후에 “「여성유방암 및 전립 선암」 이외의 암”, “중증 갑상선암”, “뇌출혈”, “급성심근경 색증”, “말기신부전증”, “말기간질환”, “말기만성폐질환”, “중증 세균성 수막염”, “루게릭병(근위축측삭경화증)”, “중증 재생불량성 빈혈” 또는 “중대한 화상 및 부식(화학약품 등 에 의한 피부 손상)”으로 진단확정 되었거나 “관상동맥우회 술”, “심장판막수술”, “대동맥인조혈관치환수술” 또는 “5대 장기이식수술”로 수술을 받았을 때 (다만, “「여성유방암 및 전립선암」 이외의 암”, “중증 갑상선 암”, “뇌출혈”, “급성심근경색증”, “말기신부전증”, “말기간 질환”, “말기만성폐질환”, “중증 세균성 수막염”, “루게릭병 (근위축측삭경화증)”, “중증 재생불량성 빈혈”, “중대한 화상 및 부식(화학약품 등에 의한 피부 손상)”, “관상동맥우회술”, “심장판막수술”, “대동맥인조혈관치환수술” 또는 “5대장기 이식수술” 중 최초 1회에 한함)","올페이 대상계약 총 보험료 ×100%(다만, 계약일부터 2년 미만에 “중대한 화상 및 부식”을 제외한 지급사유가 발생한 경우 상기 지급금액의 50%를 지급함)* 올페이 50%형은 상품요약서 참조",주계약보험료,"44,868 원","27,022 원",98.8 %,100.4 %,%,%,%,%,file_0.xls,신한라이프생명,신한멀티라이프변액유니버설종신보험(무배당),특약,[납입면제형]진심을품은14대보장특약(무배당),"특약보험기간 중 피보험자가 보장개시일(암의 경우 “암” 및 “중증 갑상선암” 보장개시일) 이후에 “「여성유방암 및 전립 선암」 이외의 암”, “중증 갑상선암”, “뇌출혈”, “급성심근경 색증”, “말기신부전증”, “말기간질환”, “말기만성폐질환”, “중증 세균성 수막염”, “루게릭병(근위축측삭경화증)”, “중증 재생불량성 빈혈” 또는 “중대한 화상 및 부식(화학약품 등 에 의한 피부 손상)”으로 진단확정 되었거나 “관상동맥우회 술”, “심장판막수술”, “대동맥인조혈관치환수술” 또는 “5대 장기이식수술”로 수술을 받았을 때 (다만, “「여성유방암 및 전립선암」 이외의 암”, “중증 갑상선 암”, “뇌출혈”, “급성심근경색증”, “말기신부전증”, “말기간 질환”, “말기만성폐질환”, “중증 세균성 수막염”, “루게릭병 (근위축측삭경화증)”, “중증 재생불량성 빈혈”, “중대한 화상 및 부식(화학약품 등에 의한 피부 손상)”, “관상동맥우회술”, “심장판막수술”, “대동맥인조혈관치환수술” 또는 “5대장기 이식수술” 중 최초 1회에 한함)","올페이 대상계약 총 보험료 ×100%(다만, 계약일부터 2년 미만에 “중대한 화상 및 부식”을 제외한 지급사유가 발생한 경우 상기 지급금액의 50%를 지급함)* 올페이 50%형은 상품요약서 참조",주계약보험료,"44,868 원","27,022 원",98.8 %,100.4 %,%,%,%,%,기본형,일반,,유니버셜,대면채널,2026-01-01,"보험가격지수 예시기준: 40세, 보험가입금액 1억원, 1종(기본형), 20년납, 월납 가정시 보험료 예시기준: 1종(기본형), 40세, 20년납, 월납, 보험가입금액 1억원 1. 보험기간: 종신 2. 가입나이 - 보장형계약: 만15세 ~ 최고65세 - 적립형계약: 20세 ~ 80세 *보험종목별 및 납입기간별로 가입나이는 차이가 있을 수 있습니다. 3. 특약기준: 20년만기 전기납, 올페이 100%형, 가입금액(남자: 61,296,000원/여자: 56,064,000원)",1588-5580,,,,,,,
한화생명,한화생명 간편가입 H종신보험 무배당[1종 기본납입면제형](해약환급금 일부지급형l),특약,3대질병케어특약 무배당[간편가입형](해약환급금 일부지급형),"피보험자가 보장개시일('암(기타피부암 및 갑상선암 제외)'은 암보장개시일)이후에 '암(기타피부암 및 갑상선암 제외)', '뇌졸중' 또는 '특정 허혈성심장질환'으로 진단이 확정되었을 경우(최초 1회한)",환급대상보험료 : 약정보험료 ⅹ 보험계약 체결시부터 지급사유 발생시까지의 경과월수/약정보험료 : 계약 체결시 보험가입금액을 기준으로 계산된 매월 계속 납입하기로 약정한 해당계약의 월납보험료,"남자265,800원, 여자 253,900원(주계약 1천만원기준)",120780 원,"92,752 원",2.50 %,,,160.4 %,168.6 %,,file_10.xls,한화생명,한화생명 간편가입 H종신보험 무배당[1종 기본납입면제형](해약환급금 일부지급형l),특약,3대질병케어특약 무배당[간편가입형](해약환급금 일부지급형),"피보험자가 보장개시일('암(기타피부암 및 갑상선암 제외)'은 암보장개시일)이후에 '암(기타피부암 및 갑상선암 제외)', '뇌졸중' 또는 '특정 허혈성심장질환'으로 진단이 확정되었을 경우(최초 1회한)",환급대상보험료 : 약정보험료 ⅹ 보험계약 체결시부터 지급사유 발생시까지의 경과월수/약정보험료 : 계약 체결시 보험가입금액을 기준으로 계산된 매월 계속 납입하기로 약정한 해당계약의 월납보험료,"남자265,800원, 여자 253,900원(주계약 1천만원기준)",120780 원,"92,752 원",2.50 %,,,160.4 %,168.6 %,,,,,기본형,무해지/저해지환급,,,,,,비유니버셜,대면채널,2026-01-01,"1. 가입나이 : 만15세 ~ 67세 (단, 성별 및 납입기간별로 상이) 2. 가입한도 (1) 1종(기본납입면제형) - ~ 29세 : 10만원 ~ 5억원 - 30세 ~ : 10만원 ~ 20억원 ※ 단, 보험가입금액 10만원 ~ 위험직급별 가입한도 이내 (2) 2종(3대질병납입면제형) 보험가입금액 10만원 ~ 2억5000만원 *주계약 및 특약 보험료 합산 5만원 이상 3. 납입기간 (1) 1종(기본납입면제형) - 해약환급금 일부지급형Ⅰ(납입기간중 50%) : 5년납 - 해약환급금 일부지급형Ⅱ(납입기간중 50%) : 7년납 (2) 2종(3대질병납입면제형) - 해약환급금 일부지급형Ⅰ(납입기간중 50%) : 5년납 - 해약환급금 일부지급형Ⅱ(납입기간중 50%) : 7년납 4. 보험기간 : 종신 5. 보험종류 (1) 1종(기본납입면제형) - 해약환급금 일부지급형Ⅰ(납입기간중 50%) - 해약환급금 일부지급형Ⅱ(납입기간중 50%) (2) 2종(3대질병납입면제형) - 해약환급금 일부지급형Ⅰ(납입기간중 50%) - 해약환급금 일부지급형Ⅱ(납입기간중 50%) 6. 보험가격지수 기준 : 1종(기본납입면제형), 해약환급금 일부지급형l, 주계약 가입금액 1억원, 40세, 5년납, 월납 7. 보험료 기준 : 1종(기본납입면제형), 해약환급금 일부지급형l, 주계약 가입금액 1억원, 40세, 5년납, 월납 8.특약 기준 가. 3대질병케어특약(무)[간편가입형](해약환급금 일부지급형) : 주계약가입금액 1천만원가입기준(주계약 1억 가입시 특약가입 불가), 40세, 5년납, 월납 나. 9대질병보험료납입면제특약(무)[간편가입형] : 주계약가입금액 1천만원가입기준(주계약 1억 가입시 특약가입 불가), 40세, 5년납, 월납 ※ 3대질병케어특약(무)[간편가입형]과 9대질병보험료납입면제특약(무)[간편가입형]은 동시 가입 불가 9. 기간별 적용이율 : 계약일로부터 10년 이내 연복리 2.5%, 10년 초과 연복리 1.0%",1588-6363
한화생명,한화생명 H종신보험 무배당[1종 기본납입면제형](해약환급금 일부지급형l),특약,3대질병케어특약 무배당(해약환급금 일부지급형),"피보험자가 보장개시일('암(기타피부암 및 갑상선암 제외)'은 암보장개시일)이후에 '암(기타피부암 및 갑상선암 제외)', '뇌졸중' 또는 '특정 허혈성심장질환'으로 진단이 확정되었을 경우(최초 1회한)",환급대상보험료 : 약정보험료 ⅹ 보험계약 체결시부터 지급사유 발생시까지의 경과월수/약정보험료 : 계약 체결시 보험가입금액을 기준으로 계산된 매월 계속 납입하기로 약정한 해당계약의 월납보험료,"남자252,100원, 여자 242,400원(주계약 1천만원기준)",97129 원,"71,166 원",2.50 %,,,152.0 %,161.0 %,,file_10.xls,한화생명,한화생명 H종신보험 무배당[1종 기본납입면제형](해약환급금 일부지급형l),특약,3대질병케어특약 무배당(해약환급금 일부지급형),"피보험자가 보장개시일('암(기타피부암 및 갑상선암 제외)'은 암보장개시일)이후에 '암(기타피부암 및 갑상선암 제외)', '뇌졸중' 또는 '특정 허혈성심장질환'으로 진단이 확정되었을 경우(최초 1회한)",환급대상보험료 : 약정보험료 ⅹ 보험계약 체결시부터 지급사유 발생시까지의 경과월수/약정보험료 : 계약 체결시 보험가입금액을 기준으로 계산된 매월 계속 납입하기로 약정한 해당계약의 월납보험료,"남자252,100원, 여자 242,400원(주계약 1천만원기준)",97129 원,"71,166 원",2.50 %,,,152.0 %,161.0 %,,,,,기본형,무해지/저해지환급,,,,,,비유니버셜,대면채널,2026-01-01,"1. 가입나이 : 만15세 ~ 69세 (단, 성별 및 납입기간별로 상이) 2. 가입한도 (1) 1종(기본납입면제형) 보험가입금액 10만원 ~ 위험직급별 가입한도 이내 (2) 2종(3대질병납입면제형) 보험가입금액 10만원 ~ 5억원 *주계약 및 특약 보험료 합산 5만원 이상 3. 납입기간 (1) 1종(기본납입면제형) - 해약환급금 일부지급형Ⅰ(납입기간중 50%) : 5년납 - 해약환급금 일부지급형Ⅱ(납입기간중 50%) : 7년납 (2) 2종(3대질병납입면제형) - 해약환급금 일부지급형Ⅰ(납입기간중 50%) : 5년납 - 해약환급금 일부지급형Ⅱ(납입기간중 50%) : 7년납 4. 보험기간 : 종신 5. 보험종류 (1) 1종(기본납입면제형) - 해약환급금 일부지급형Ⅰ(납입기간중 50%) - 해약환급금 일부지급형Ⅱ(납입기간중 50%) (2) 2종(3대질병납입면제형) - 해약환급금 일부지급형Ⅰ(납입기간중 50%) - 해약환급금 일부지급형Ⅱ(납입기간중 50%) 6. 보험가격지수 기준 : 1종(기본납입면제형), 해약환급금 일부지급형Ⅰ, 주계약 가입금액 1억원, 40세, 5년납, 월납, 표준체 7. 보험료 기준 : 1종(기본납입면제형), 해약환급금 일부지급형Ⅰ, 주계약 가입금액 1억원, 40세, 5년납, 월납, 표준체 8.특약 기준 가. 3대질병케어특약(무)(해약환급금 일부지급형) : 주계약가입금액 1천만원가입기준(주계약 1억 가입시 특약가입 불가), 40세, 5년납, 월납 나. 9대질병보험료납입면제특약(무) : 주계약가입금액 1천만원가입기준(주계약 1억 가입시 특약가입 불가), 40세, 5년납, 월납 ※ 3대질병케어특약(무)과 9대질병보험료납입면제특약(무)는 동시 가입 불가 9. 기간별 적용이율 : 계약일로부터 10년 이내 연복리 2.5%, 10년 초과 연복리 1.0%",1588-6363
한화생명,한화생명 H종신보험 무배당[2종 3대질병납입면제형](해약환급금 일부지급형ㅣ),특약,3대질병케어특약 무배당(해약환급금 일부지급형),"피보험자가 보장개시일('암(기타피부암 및 갑상선암 제외)'은 암보장개시일)이후에 '암(기타피부암 및 갑상선암 제외)', '뇌졸중' 또는 '특정 허혈성심장질환'으로 진단이 확정되었을 경우(최초 1회한)",환급대상보험료 : 약정보험료 ⅹ 보험계약 체결시부터 지급사유 발생시까지의 경과월수/약정보험료 : 계약 체결시 보험가입금액을 기준으로 계산된 매월 계속 납입하기로 약정한 해당계약의 월납보험료,"남자256,600원, 여자247,100원(주계약 1천만원 기준)",98862 원,"72,546 원",2.50 %,,,153.8 %,162.8 %,,file_10.xls,한화생명,한화생명 H종신보험 무배당[2종 3대질병납입면제형](해약환급금 일부지급형ㅣ),특약,3대질병케어특약 무배당(해약환급금 일부지급형),"피보험자가 보장개시일('암(기타피부암 및 갑상선암 제외)'은 암보장개시일)이후에 '암(기타피부암 및 갑상선암 제외)', '뇌졸중' 또는 '특정 허혈성심장질환'으로 진단이 확정되었을 경우(최초 1회한)",환급대상보험료 : 약정보험료 ⅹ 보험계약 체결시부터 지급사유 발생시까지의 경과월수/약정보험료 : 계약 체결시 보험가입금액을 기준으로 계산된 매월 계속 납입하기로 약정한 해당계약의 월납보험료,"남자256,600원, 여자247,100원(주계약 1천만원 기준)",98862 원,"72,546 원",2.50 %,,,153.8 %,162.8 %,,,,,기본형,무해지/저해지환급,,,,,,비유니버셜,대면채널,2026-01-01,"1. 가입나이 : 만15세 ~ 66세 (단, 성별 및 납입기간별로 상이) 2. 가입한도 (1) 1종(기본납입면제형) 보험가입금액 10만원 ~ 위험직급별 가입한도 이내 (2) 2종(3대질병납입면제형) 보험가입금액 10만원 ~ 5억원 *주계약 및 특약 보험료 합산 5만원 이상 3. 납입기간 (1) 1종(기본납입면제형) - 해약환급금 일부지급형Ⅰ(납입기간중 50%) : 5년납 - 해약환급금 일부지급형Ⅱ(납입기간중 50%) : 7년납 (2) 2종(3대질병납입면제형) - 해약환급금 일부지급형Ⅰ(납입기간중 50%) : 5년납 - 해약환급금 일부지급형Ⅱ(납입기간중 50%) : 7년납 4. 보험기간 : 종신 5. 보험종류 (1) 1종(기본납입면제형) - 해약환급금 일부지급형Ⅰ(납입기간중 50%) - 해약환급금 일부지급형Ⅱ(납입기간중 50%) (2) 2종(3대질병납입면제형) - 해약환급금 일부지급형Ⅰ(납입기간중 50%) - 해약환급금 일부지급형Ⅱ(납입기간중 50%) 6. 보험가격지수 기준 : 2종(3대질병납입면제형), 해약환급금 일부지급형l, 주계약 가입금액 1억원, 40세, 5년납, 월납, 표준체 7. 보험료 기준 : 2종(3대질병납입면제형), 해약환급금 일부지급형l, 주계약 가입금액 1억원, 40세, 5년납, 월납, 표준체 8.특약 기준 : 3대질병케어특약(무)(해약환급금 일부지급형) : 주계약가입금액 1천만원가입기준(주계약 1억 가입시 특약가입 불가), 40세, 5년납, 월납 9. 기간별 적용이율 : 계약일로부터 10년 이내 연복리 2.5%, 10년 초과 연복리 1.0%",1588-6363
한화생명,한화생명 간편가입 H종신보험 무배당[2종 3대질병납입면제형](해약환급금 일부지급형l),특약,3대질병케어특약 무배당[간편가입형](해약환급금 일부지급형),"피보험자가 보장개시일('암(기타피부암 및 갑상선암 제외)'은 암보장개시일)이후에 '암(기타피부암 및 갑상선암 제외)', '뇌졸중' 또는 '특정 허혈성심장질환'으로 진단이 확정되었을 경우(최초 1회한)",환급대상보험료 : 약정보험료 ⅹ 보험계약 체결시부터 지급사유 발생시까지의 경과월수/약정보험료 : 계약 체결시 보험가입금액을 기준으로 계산된 매월 계속 납입하기로 약정한 해당계약의 월납보험료,"남자270,400원, 여자258,600원(주계약 1천만원 기준)",122870 원,"94,469 원",2.50 %,,,162.0 %,170.5 %,,file_10.xls,한화생명,한화생명 간편가입 H종신보험 무배당[2종 3대질병납입면제형](해약환급금 일부지급형l),특약,3대질병케어특약 무배당[간편가입형](해약환급금 일부지급형),"피보험자가 보장개시일('암(기타피부암 및 갑상선암 제외)'은 암보장개시일)이후에 '암(기타피부암 및 갑상선암 제외)', '뇌졸중' 또는 '특정 허혈성심장질환'으로 진단이 확정되었을 경우(최초 1회한)",환급대상보험료 : 약정보험료 ⅹ 보험계약 체결시부터 지급사유 발생시까지의 경과월수/약정보험료 : 계약 체결시 보험가입금액을 기준으로 계산된 매월 계속 납입하기로 약정한 해당계약의 월납보험료,"남자270,400원, 여자258,600원(주계약 1천만원 기준)",122870 원,"94,469 원",2.50 %,,,162.0 %,170.5 %,,,,,기본형,무해지/저해지환급,,,,,,비유니버셜,대면채널,2026-01-01,"1. 가입나이 : 만15세 ~ 61세 (단, 성별 및 납입기간별로 상이) 2. 가입한도 (1) 1종(기본납입면제형) - ~ 29세 : 10만원 ~ 5억원 - 30세 ~ : 10만원 ~ 20억원 ※ 단, 보험가입금액 10만원 ~ 위험직급별 가입한도 이내 (2) 2종(3대질병납입면제형) : 보험가입금액 10만원 ~ 2억5000만원 *주계약 및 특약 보험료 합산 5만원 이상 3. 납입기간 (1) 1종(기본납입면제형) - 해약환급금 일부지급형Ⅰ(납입기간중 50%) : 5년납 - 해약환급금 일부지급형Ⅱ(납입기간중 50%) : 7년납 (2) 2종(3대질병납입면제형) - 해약환급금 일부지급형Ⅰ(납입기간중 50%) : 5년납 - 해약환급금 일부지급형Ⅱ(납입기간중 50%) : 7년납 4. 보험기간 : 종신 5. 보험종류 (1) 1종(기본납입면제형) - 해약환급금 일부지급형Ⅰ(납입기간중 50%) - 해약환급금 일부지급형Ⅱ(납입기간중 50%) (2) 2종(3대질병납입면제형) - 해약환급금 일부지급형Ⅰ(납입기간중 50%) - 해약환급금 일부지급형Ⅱ(납입기간중 50%) 6. 보험가격지수 기준 : 2종(3대질병납입면제형), 해약환급금 일부지급형l, 주계약 가입금액 1억원, 40세, 5년납, 월납 7. 보험료 기준 : 2종(3대질병납입면제형), 해약환급금 일부지급형l, 주계약 가입금액 1억원, 40세, 5년납, 월납 8.특약 기준 : 3대질병케어특약(무)[간편가입형](해약환급금 일부지급형) : 주계약가입금액 1천만원가입기준(주계약 1억 가입시 특약가입 불가), 40세, 5년납, 월납 9. 기간별 적용이율 : 계약일로부터 10년 이내 연복리 2.5%, 10년 초과 연복리 1.0%",1588-6363
ABL생명,(무)우리WON건강N더보장종합보험(간편심사형),특약,(무)허혈심장질환진단특약D(간편심사형(325)),"""이 특약의 보험기간 중 피보험자가 “허혈심장질환”으로 진단이 확정되었을 때(다 만, 최초 1회에 한함)""","""경과기간 1년 미만：500만원 경과기간 1년 이상：1,000만원""","1,000만원",14600 원,"11,870 원",2.50 %,,,107.6 %,102.7 %,,file_10.xls,ABL생명,(무)우리WON건강N더보장종합보험(간편심사형),특약,(무)허혈심장질환진단특약D(간편심사형(325)),"""이 특약의 보험기간 중 피보험자가 “허혈심장질환”으로 진단이 확정되었을 때(다 만, 최초 1회에 한함)""","""경과기간 1년 미만：500만원 경과기간 1년 이상：1,000만원""","1,000만원",14600 원,"11,870 원",2.50 %,,,107.6 %,102.7 %,,,,,기본형,일반,,,,,,비유니버셜,대면채널,2026-01-01,"1. 가입나이 (가입조건별로 상이) : 30세 ~ 최대 80세 2. 가입한도 : 100만원 ~ 1,000만원 3. 보험종류 : 해약환급금 미지급형, 기본형 4. 보험기간 : 종신, 80세만기, 90세만기 5. 보험료 예시기준 : 기본형, 간편심사형(325), 종신(특약은 80세만기), 40세, 20년납, 월납 6. 보험가격지수 예시기준 : 기본형, 간편심사형(325), 종신, 가입금액 100만원, 40세, 20년납, 월납",1588-6500
ABL생명,(무)우리WON건강N더보장종합보험(일반심사형),특약,(무)허혈심장질환진단특약D(일반심사형),"""이 특약의 보험기간 중 피보험자가 “허혈심장질환”으로 진단이 확정되었을 때(다 만, 최초 1회에 한함)""","""경과기간 1년 미만：500만원 경과기간 1년 이상：1,000만원""","1,000만원",11010 원,"7,340 원",2.50 %,,,95.8 %,93.7 %,,file_10.xls,ABL생명,(무)우리WON건강N더보장종합보험(일반심사형),특약,(무)허혈심장질환진단특약D(일반심사형),"""이 특약의 보험기간 중 피보험자가 “허혈심장질환”으로 진단이 확정되었을 때(다 만, 최초 1회에 한함)""","""경과기간 1년 미만：500만원 경과기간 1년 이상：1,000만원""","1,000만원",11010 원,"7,340 원",2.50 %,,,95.8 %,93.7 %,,,,,기본형,일반,,,,,,비유니버셜,대면채널,2026-01-01,"1. 가입나이 (가입조건별로 상이) : 만15세 ~ 최대 80세 2. 가입한도 : 100만원 ~ 1,000만원 3. 보험종류 : 해약환급금 미지급형, 기본형 4. 보험기간 : 종신, 80세만기, 90세만기 5. 보험료 예시기준 : 기본형, 일반심사형, 종신(특약은 80세만기), 40세, 20년납, 월납 6. 보험가격지수 예시기준 : 기본형, 일반심사형, 종신, 가입금액 100만원, 40세, 20년납, 월납",1588-6500
