보험회사,상품명,구분,담보명(급부명),지급사유,지급금액,가입금액,기준보험료,가입보험료,적용이율,갱신구분,판매채널,기준일자,상세안내,연락처,source_file,원본_열_0,원본_열_1,원본_열_2,원본_열_3,원본_열_4,원본_열_5,원본_열_6,원본_열_7,원본_열_8,원본_열_9,원본_열_10,원본_열_11,원본_열_12,원본_열_13,원본_열_14,원본_열_15,원본_열_16,원본_열_17,원본_열_18,원본_열_19,원본_열_20,원본_열_21,원본_열_22,원본_열_23,원본_열_24,원본_열_25,원본_열_26,원본_열_27,원본_열_28,원본_열_29
삼성생명,삼성 탄탄한 변액연금보험(B2601)(무배당)[최저연금보증형],1,"50,000,000 원","49,064,000 원",98.13 %,"48,796,000 원","49,064,340 원",98.13 %,,,방카슈랑스,2026-01-01,"□ 필수기재사항 1. 가입나이 : 만15세~(연금지급개시나이-10)세  2. 보험기간(연금지급개시나이) : 45~85세 3. 해약환급금, 사업비 및 비용 정보 예시 기준 - 거치형, 가입나이 55세, 65세 연금개시  펀드편입비율 S자산배분형 100% 선택, 투자수익률 2.50% □ 선택기재사항 1. 납입기간: 일시납  - 계약체결비용 5년동안 매월 차감",1588-3114,변액_저축성_상품비교_20260608162219800.xls,삼성생명,삼성 탄탄한 변액연금보험(B2601)(무배당)[최저연금보증형],1,"50,000,000 원","49,064,000 원",98.13 %,"48,796,000 원","49,064,340 원",98.13 %,"48,796,340 원",-5.20 %,-1.87 %,-0.67 %,2.74 %,0.0008 %,0.25 %,1.31 %,0.00 %,거치,비유니버셜,일시납,방카슈랑스,2026-01-01,"□ 필수기재사항 1. 가입나이 : 만15세~(연금지급개시나이-10)세  2. 보험기간(연금지급개시나이) : 45~85세 3. 해약환급금, 사업비 및 비용 정보 예시 기준 - 거치형, 가입나이 55세, 65세 연금개시  펀드편입비율 S자산배분형 100% 선택, 투자수익률 2.50% □ 선택기재사항 1. 납입기간: 일시납  - 계약체결비용 5년동안 매월 차감",1588-3114,,,,,
삼성생명,삼성 탄탄한 변액연금보험(B2601)(무배당)[최저연금보증형],3,"50,000,000 원","48,815,850 원",97.63 %,"48,681,850 원","48,816,870 원",97.63 %,,,방카슈랑스,2026-01-01,"□ 필수기재사항 1. 가입나이 : 만15세~(연금지급개시나이-10)세  2. 보험기간(연금지급개시나이) : 45~85세 3. 해약환급금, 사업비 및 비용 정보 예시 기준 - 거치형, 가입나이 55세, 65세 연금개시  펀드편입비율 S자산배분형 100% 선택, 투자수익률 2.50% □ 선택기재사항 1. 납입기간: 일시납  - 계약체결비용 5년동안 매월 차감",1588-3114,변액_저축성_상품비교_20260608162219800.xls,삼성생명,삼성 탄탄한 변액연금보험(B2601)(무배당)[최저연금보증형],3,"50,000,000 원","48,815,850 원",97.63 %,"48,681,850 원","48,816,870 원",97.63 %,"48,682,870 원",-12.10 %,-2.37 %,1.29 %,4.34 %,0.0024 %,0.83 %,4.44 %,0.00 %,거치,비유니버셜,일시납,방카슈랑스,2026-01-01,"□ 필수기재사항 1. 가입나이 : 만15세~(연금지급개시나이-10)세  2. 보험기간(연금지급개시나이) : 45~85세 3. 해약환급금, 사업비 및 비용 정보 예시 기준 - 거치형, 가입나이 55세, 65세 연금개시  펀드편입비율 S자산배분형 100% 선택, 투자수익률 2.50% □ 선택기재사항 1. 납입기간: 일시납  - 계약체결비용 5년동안 매월 차감",1588-3114,,,,,
삼성생명,삼성 탄탄한 변액연금보험(B2601)(무배당)[최저연금보증형],5,"50,000,000 원","48,989,230 원",97.98 %,"48,989,230 원","48,990,940 원",97.98 %,,,방카슈랑스,2026-01-01,"□ 필수기재사항 1. 가입나이 : 만15세~(연금지급개시나이-10)세  2. 보험기간(연금지급개시나이) : 45~85세 3. 해약환급금, 사업비 및 비용 정보 예시 기준 - 거치형, 가입나이 55세, 65세 연금개시  펀드편입비율 S자산배분형 100% 선택, 투자수익률 2.50% □ 선택기재사항 1. 납입기간: 일시납  - 계약체결비용 5년동안 매월 차감",1588-3114,변액_저축성_상품비교_20260608162219800.xls,삼성생명,삼성 탄탄한 변액연금보험(B2601)(무배당)[최저연금보증형],5,"50,000,000 원","48,989,230 원",97.98 %,"48,989,230 원","48,990,940 원",97.98 %,"48,990,940 원",-17.80 %,-2.02 %,4.18 %,5.10 %,0.0041 %,1.42 %,7.57 %,0.00 %,거치,비유니버셜,일시납,방카슈랑스,2026-01-01,"□ 필수기재사항 1. 가입나이 : 만15세~(연금지급개시나이-10)세  2. 보험기간(연금지급개시나이) : 45~85세 3. 해약환급금, 사업비 및 비용 정보 예시 기준 - 거치형, 가입나이 55세, 65세 연금개시  펀드편입비율 S자산배분형 100% 선택, 투자수익률 2.50% □ 선택기재사항 1. 납입기간: 일시납  - 계약체결비용 5년동안 매월 차감",1588-3114,,,,,
삼성생명,삼성 탄탄한 변액연금보험(B2601)(무배당)[최저연금보증형],10,"50,000,000 원","49,786,300 원",99.57 %,"49,786,300 원","49,790,930 원",99.58 %,,,방카슈랑스,2026-01-01,"□ 필수기재사항 1. 가입나이 : 만15세~(연금지급개시나이-10)세  2. 보험기간(연금지급개시나이) : 45~85세 3. 해약환급금, 사업비 및 비용 정보 예시 기준 - 거치형, 가입나이 55세, 65세 연금개시  펀드편입비율 S자산배분형 100% 선택, 투자수익률 2.50% □ 선택기재사항 1. 납입기간: 일시납  - 계약체결비용 5년동안 매월 차감",1588-3114,변액_저축성_상품비교_20260608162219800.xls,삼성생명,삼성 탄탄한 변액연금보험(B2601)(무배당)[최저연금보증형],10,"50,000,000 원","49,786,300 원",99.57 %,"49,786,300 원","49,790,930 원",99.58 %,"49,790,930 원",-30.10 %,-0.43 %,12.61 %,6.30 %,0.0116 %,2.90 %,15.47 %,0.00 %,거치,비유니버셜,일시납,방카슈랑스,2026-01-01,"□ 필수기재사항 1. 가입나이 : 만15세~(연금지급개시나이-10)세  2. 보험기간(연금지급개시나이) : 45~85세 3. 해약환급금, 사업비 및 비용 정보 예시 기준 - 거치형, 가입나이 55세, 65세 연금개시  펀드편입비율 S자산배분형 100% 선택, 투자수익률 2.50% □ 선택기재사항 1. 납입기간: 일시납  - 계약체결비용 5년동안 매월 차감",1588-3114,,,,,
삼성생명,삼성 탄탄한 변액연금보험(B2601)(무배당)[최저연금보증형],1,"3,600,000 원","2,711,785 원",75.33 %,"2,498,356 원","2,711,894 원",75.33 %,,,방카슈랑스,2026-01-01,"□ 필수기재사항 1. 가입나이 - 만15세~(연금지급개시나이-납입기간-5)세 2. 보험기간(연금지급개시나이) : 45~85세 3. 해약환급금 사업비 및 비용 정보 예시 기준 - 적립형, 가입나이 40세, 납입기간 10년, 60세 연금개시, 펀드투입비율 S자산배분형 100% 선택, 투자수익률 2.50% 4. 최저연금(최저실적배당종신연금) 보증비용은 적립금비례 보증비용 외 매년 보험료총액의 2.10%(10년 이내), 0.45%(10년 초과) 부과 □ 선택기재사항 1. 납입기간 : 5/7/10/12/15/20/25/30년납",1588-3114,변액_저축성_상품비교_20260608162219800.xls,삼성생명,삼성 탄탄한 변액연금보험(B2601)(무배당)[최저연금보증형],1,"3,600,000 원","2,711,785 원",75.33 %,"2,498,356 원","2,711,894 원",75.33 %,"2,498,465 원",-26.10 %,-24.67 %,-24.16 %,7.61 %,0.0040 %,0.11 %,17.99 %,0.00 %,적립,비유니버셜,월납,방카슈랑스,2026-01-01,"□ 필수기재사항 1. 가입나이 - 만15세~(연금지급개시나이-납입기간-5)세 2. 보험기간(연금지급개시나이) : 45~85세 3. 해약환급금 사업비 및 비용 정보 예시 기준 - 적립형, 가입나이 40세, 납입기간 10년, 60세 연금개시, 펀드투입비율 S자산배분형 100% 선택, 투자수익률 2.50% 4. 최저연금(최저실적배당종신연금) 보증비용은 적립금비례 보증비용 외 매년 보험료총액의 2.10%(10년 이내), 0.45%(10년 초과) 부과 □ 선택기재사항 1. 납입기간 : 5/7/10/12/15/20/25/30년납",1588-3114,,,,,
삼성생명,삼성 탄탄한 변액연금보험(B2601)(무배당)[최저연금보증형],3,"10,800,000 원","7,942,242 원",73.54 %,"7,799,956 원","7,942,570 원",73.54 %,,,방카슈랑스,2026-01-01,"□ 필수기재사항 1. 가입나이 - 만15세~(연금지급개시나이-납입기간-5)세 2. 보험기간(연금지급개시나이) : 45~85세 3. 해약환급금 사업비 및 비용 정보 예시 기준 - 적립형, 가입나이 40세, 납입기간 10년, 60세 연금개시, 펀드투입비율 S자산배분형 100% 선택, 투자수익률 2.50% 4. 최저연금(최저실적배당종신연금) 보증비용은 적립금비례 보증비용 외 매년 보험료총액의 2.10%(10년 이내), 0.45%(10년 초과) 부과 □ 선택기재사항 1. 납입기간 : 5/7/10/12/15/20/25/30년납",1588-3114,변액_저축성_상품비교_20260608162219800.xls,삼성생명,삼성 탄탄한 변액연금보험(B2601)(무배당)[최저연금보증형],3,"10,800,000 원","7,942,242 원",73.54 %,"7,799,956 원","7,942,570 원",73.54 %,"7,800,284 원",-30.30 %,-26.46 %,-25.04 %,7.61 %,0.0040 %,0.32 %,21.35 %,0.00 %,적립,비유니버셜,월납,방카슈랑스,2026-01-01,"□ 필수기재사항 1. 가입나이 - 만15세~(연금지급개시나이-납입기간-5)세 2. 보험기간(연금지급개시나이) : 45~85세 3. 해약환급금 사업비 및 비용 정보 예시 기준 - 적립형, 가입나이 40세, 납입기간 10년, 60세 연금개시, 펀드투입비율 S자산배분형 100% 선택, 투자수익률 2.50% 4. 최저연금(최저실적배당종신연금) 보증비용은 적립금비례 보증비용 외 매년 보험료총액의 2.10%(10년 이내), 0.45%(10년 초과) 부과 □ 선택기재사항 1. 납입기간 : 5/7/10/12/15/20/25/30년납",1588-3114,,,,,
삼성생명,삼성 탄탄한 변액연금보험(B2601)(무배당)[최저연금보증형],5,"18,000,000 원","13,253,665 원",73.63 %,"13,182,522 원","13,254,217 원",73.63 %,,,방카슈랑스,2026-01-01,"□ 필수기재사항 1. 가입나이 - 만15세~(연금지급개시나이-납입기간-5)세 2. 보험기간(연금지급개시나이) : 45~85세 3. 해약환급금 사업비 및 비용 정보 예시 기준 - 적립형, 가입나이 40세, 납입기간 10년, 60세 연금개시, 펀드투입비율 S자산배분형 100% 선택, 투자수익률 2.50% 4. 최저연금(최저실적배당종신연금) 보증비용은 적립금비례 보증비용 외 매년 보험료총액의 2.10%(10년 이내), 0.45%(10년 초과) 부과 □ 선택기재사항 1. 납입기간 : 5/7/10/12/15/20/25/30년납",1588-3114,변액_저축성_상품비교_20260608162219800.xls,삼성생명,삼성 탄탄한 변액연금보험(B2601)(무배당)[최저연금보증형],5,"18,000,000 원","13,253,665 원",73.63 %,"13,182,522 원","13,254,217 원",73.63 %,"13,183,074 원",-32.60 %,-26.37 %,-24.02 %,7.61 %,0.0040 %,0.54 %,22.84 %,0.00 %,적립,비유니버셜,월납,방카슈랑스,2026-01-01,"□ 필수기재사항 1. 가입나이 - 만15세~(연금지급개시나이-납입기간-5)세 2. 보험기간(연금지급개시나이) : 45~85세 3. 해약환급금 사업비 및 비용 정보 예시 기준 - 적립형, 가입나이 40세, 납입기간 10년, 60세 연금개시, 펀드투입비율 S자산배분형 100% 선택, 투자수익률 2.50% 4. 최저연금(최저실적배당종신연금) 보증비용은 적립금비례 보증비용 외 매년 보험료총액의 2.10%(10년 이내), 0.45%(10년 초과) 부과 □ 선택기재사항 1. 납입기간 : 5/7/10/12/15/20/25/30년납",1588-3114,,,,,
삼성생명,삼성 탄탄한 변액연금보험(B2601)(무배당)[최저연금보증형],10,"36,000,000 원","27,172,709 원",75.48 %,"27,172,709 원","27,173,833 원",75.48 %,,,방카슈랑스,2026-01-01,"□ 필수기재사항 1. 가입나이 - 만15세~(연금지급개시나이-납입기간-5)세 2. 보험기간(연금지급개시나이) : 45~85세 3. 해약환급금 사업비 및 비용 정보 예시 기준 - 적립형, 가입나이 40세, 납입기간 10년, 60세 연금개시, 펀드투입비율 S자산배분형 100% 선택, 투자수익률 2.50% 4. 최저연금(최저실적배당종신연금) 보증비용은 적립금비례 보증비용 외 매년 보험료총액의 2.10%(10년 이내), 0.45%(10년 초과) 부과 □ 선택기재사항 1. 납입기간 : 5/7/10/12/15/20/25/30년납",1588-3114,변액_저축성_상품비교_20260608162219800.xls,삼성생명,삼성 탄탄한 변액연금보험(B2601)(무배당)[최저연금보증형],10,"36,000,000 원","27,172,709 원",75.48 %,"27,172,709 원","27,173,833 원",75.48 %,"27,173,833 원",-36.40 %,-24.52 %,-19.66 %,6.85 %,0.0040 %,1.11 %,25.81 %,0.00 %,적립,비유니버셜,월납,방카슈랑스,2026-01-01,"□ 필수기재사항 1. 가입나이 - 만15세~(연금지급개시나이-납입기간-5)세 2. 보험기간(연금지급개시나이) : 45~85세 3. 해약환급금 사업비 및 비용 정보 예시 기준 - 적립형, 가입나이 40세, 납입기간 10년, 60세 연금개시, 펀드투입비율 S자산배분형 100% 선택, 투자수익률 2.50% 4. 최저연금(최저실적배당종신연금) 보증비용은 적립금비례 보증비용 외 매년 보험료총액의 2.10%(10년 이내), 0.45%(10년 초과) 부과 □ 선택기재사항 1. 납입기간 : 5/7/10/12/15/20/25/30년납",1588-3114,,,,,
삼성생명,삼성 탄탄한 변액연금보험(B2601)(무배당)[최저연금보증형],15,"36,000,000 원","27,294,917 원",75.82 %,"27,294,917 원","27,297,687 원",75.83 %,,,방카슈랑스,2026-01-01,"□ 필수기재사항 1. 가입나이 - 만15세~(연금지급개시나이-납입기간-5)세 2. 보험기간(연금지급개시나이) : 45~85세 3. 해약환급금 사업비 및 비용 정보 예시 기준 - 적립형, 가입나이 40세, 납입기간 10년, 60세 연금개시, 펀드투입비율 S자산배분형 100% 선택, 투자수익률 2.50% 4. 최저연금(최저실적배당종신연금) 보증비용은 적립금비례 보증비용 외 매년 보험료총액의 2.10%(10년 이내), 0.45%(10년 초과) 부과 □ 선택기재사항 1. 납입기간 : 5/7/10/12/15/20/25/30년납",1588-3114,변액_저축성_상품비교_20260608162219800.xls,삼성생명,삼성 탄탄한 변액연금보험(B2601)(무배당)[최저연금보증형],15,"36,000,000 원","27,294,917 원",75.82 %,"27,294,917 원","27,297,687 원",75.83 %,"27,297,687 원",-46.90 %,-24.18 %,-13.97 %,7.35 %,0.0095 %,2.24 %,33.47 %,0.00 %,적립,비유니버셜,월납,방카슈랑스,2026-01-01,"□ 필수기재사항 1. 가입나이 - 만15세~(연금지급개시나이-납입기간-5)세 2. 보험기간(연금지급개시나이) : 45~85세 3. 해약환급금 사업비 및 비용 정보 예시 기준 - 적립형, 가입나이 40세, 납입기간 10년, 60세 연금개시, 펀드투입비율 S자산배분형 100% 선택, 투자수익률 2.50% 4. 최저연금(최저실적배당종신연금) 보증비용은 적립금비례 보증비용 외 매년 보험료총액의 2.10%(10년 이내), 0.45%(10년 초과) 부과 □ 선택기재사항 1. 납입기간 : 5/7/10/12/15/20/25/30년납",1588-3114,,,,,
삼성생명,삼성 탄탄한 변액연금보험(B2601)(무배당)[최저연금보증형],20,"36,000,000 원","27,474,209 원",76.32 %,"27,474,209 원","27,478,697 원",76.33 %,,,방카슈랑스,2026-01-01,"□ 필수기재사항 1. 가입나이 - 만15세~(연금지급개시나이-납입기간-5)세 2. 보험기간(연금지급개시나이) : 45~85세 3. 해약환급금 사업비 및 비용 정보 예시 기준 - 적립형, 가입나이 40세, 납입기간 10년, 60세 연금개시, 펀드투입비율 S자산배분형 100% 선택, 투자수익률 2.50% 4. 최저연금(최저실적배당종신연금) 보증비용은 적립금비례 보증비용 외 매년 보험료총액의 2.10%(10년 이내), 0.45%(10년 초과) 부과 □ 선택기재사항 1. 납입기간 : 5/7/10/12/15/20/25/30년납",1588-3114,변액_저축성_상품비교_20260608162219800.xls,삼성생명,삼성 탄탄한 변액연금보험(B2601)(무배당)[최저연금보증형],20,"36,000,000 원","27,474,209 원",76.32 %,"27,474,209 원","27,478,697 원",76.33 %,"27,478,697 원",-56.00 %,-23.68 %,-7.50 %,7.85 %,0.0150 %,3.37 %,41.01 %,0.00 %,적립,비유니버셜,월납,방카슈랑스,2026-01-01,"□ 필수기재사항 1. 가입나이 - 만15세~(연금지급개시나이-납입기간-5)세 2. 보험기간(연금지급개시나이) : 45~85세 3. 해약환급금 사업비 및 비용 정보 예시 기준 - 적립형, 가입나이 40세, 납입기간 10년, 60세 연금개시, 펀드투입비율 S자산배분형 100% 선택, 투자수익률 2.50% 4. 최저연금(최저실적배당종신연금) 보증비용은 적립금비례 보증비용 외 매년 보험료총액의 2.10%(10년 이내), 0.45%(10년 초과) 부과 □ 선택기재사항 1. 납입기간 : 5/7/10/12/15/20/25/30년납",1588-3114,,,,,
삼성생명,삼성 탄탄한 변액연금보험(2601)(무배당)[최저연금보증형],1,"50,000,000 원","49,068,820 원",98.14 %,"48,156,820 원","49,069,160 원",98.14 %,,,대면채널,2026-01-01,"□ 필수기재사항 1. 가입나이 : 만15세~(연금지급개시나이-10)세  2. 보험기간(연금지급개시나이) : 45~85세 3. 해지환급금, 사업비 및 비용 정보 예시 기준 - 거치형, 가입나이 55세, 65세 연금개시  펀드편입비율 S자산배분형 100% 선택, 투자수익률 2.5% □ 선택기재사항 1. 납입기간: 일시납  - 계약체결비용 5년동안 매월 차감",1588-3114,변액_저축성_상품비교_20260608162219800.xls,삼성생명,삼성 탄탄한 변액연금보험(2601)(무배당)[최저연금보증형],1,"50,000,000 원","49,068,820 원",98.14 %,"48,156,820 원","49,069,160 원",98.14 %,"48,157,160 원",-5.20 %,-1.86 %,-0.66 %,2.73 %,0.0008 %,0.25 %,1.31 %,0.00 %,거치,비유니버셜,일시납,대면채널,2026-01-01,"□ 필수기재사항 1. 가입나이 : 만15세~(연금지급개시나이-10)세  2. 보험기간(연금지급개시나이) : 45~85세 3. 해지환급금, 사업비 및 비용 정보 예시 기준 - 거치형, 가입나이 55세, 65세 연금개시  펀드편입비율 S자산배분형 100% 선택, 투자수익률 2.5% □ 선택기재사항 1. 납입기간: 일시납  - 계약체결비용 5년동안 매월 차감",1588-3114,,,,,
삼성생명,삼성 탄탄한 변액연금보험(2601)(무배당)[최저연금보증형],3,"50,000,000 원","48,408,440 원",96.82 %,"47,952,440 원","48,409,460 원",96.82 %,,,대면채널,2026-01-01,"□ 필수기재사항 1. 가입나이 : 만15세~(연금지급개시나이-10)세  2. 보험기간(연금지급개시나이) : 45~85세 3. 해지환급금, 사업비 및 비용 정보 예시 기준 - 거치형, 가입나이 55세, 65세 연금개시  펀드편입비율 S자산배분형 100% 선택, 투자수익률 2.5% □ 선택기재사항 1. 납입기간: 일시납  - 계약체결비용 5년동안 매월 차감",1588-3114,변액_저축성_상품비교_20260608162219800.xls,삼성생명,삼성 탄탄한 변액연금보험(2601)(무배당)[최저연금보증형],3,"50,000,000 원","48,408,440 원",96.82 %,"47,952,440 원","48,409,460 원",96.82 %,"47,953,460 원",-12.90 %,-3.18 %,0.47 %,5.15 %,0.0024 %,0.83 %,4.43 %,0.00 %,거치,비유니버셜,일시납,대면채널,2026-01-01,"□ 필수기재사항 1. 가입나이 : 만15세~(연금지급개시나이-10)세  2. 보험기간(연금지급개시나이) : 45~85세 3. 해지환급금, 사업비 및 비용 정보 예시 기준 - 거치형, 가입나이 55세, 65세 연금개시  펀드편입비율 S자산배분형 100% 선택, 투자수익률 2.5% □ 선택기재사항 1. 납입기간: 일시납  - 계약체결비용 5년동안 매월 차감",1588-3114,,,,,
삼성생명,삼성 탄탄한 변액연금보험(2601)(무배당)[최저연금보증형],5,"50,000,000 원","47,740,510 원",95.48 %,"47,740,510 원","47,742,220 원",95.48 %,,,대면채널,2026-01-01,"□ 필수기재사항 1. 가입나이 : 만15세~(연금지급개시나이-10)세  2. 보험기간(연금지급개시나이) : 45~85세 3. 해지환급금, 사업비 및 비용 정보 예시 기준 - 거치형, 가입나이 55세, 65세 연금개시  펀드편입비율 S자산배분형 100% 선택, 투자수익률 2.5% □ 선택기재사항 1. 납입기간: 일시납  - 계약체결비용 5년동안 매월 차감",1588-3114,변액_저축성_상품비교_20260608162219800.xls,삼성생명,삼성 탄탄한 변액연금보험(2601)(무배당)[최저연금보증형],5,"50,000,000 원","47,740,510 원",95.48 %,"47,740,510 원","47,742,220 원",95.48 %,"47,742,220 원",-20.20 %,-4.52 %,1.64 %,7.57 %,0.0041 %,1.41 %,7.51 %,0.00 %,거치,비유니버셜,일시납,대면채널,2026-01-01,"□ 필수기재사항 1. 가입나이 : 만15세~(연금지급개시나이-10)세  2. 보험기간(연금지급개시나이) : 45~85세 3. 해지환급금, 사업비 및 비용 정보 예시 기준 - 거치형, 가입나이 55세, 65세 연금개시  펀드편입비율 S자산배분형 100% 선택, 투자수익률 2.5% □ 선택기재사항 1. 납입기간: 일시납  - 계약체결비용 5년동안 매월 차감",1588-3114,,,,,
삼성생명,삼성 탄탄한 변액연금보험(2601)(무배당)[최저연금보증형],10,"50,000,000 원","48,501,630 원",97.00 %,"48,501,630 원","48,506,250 원",97.01 %,,,대면채널,2026-01-01,"□ 필수기재사항 1. 가입나이 : 만15세~(연금지급개시나이-10)세  2. 보험기간(연금지급개시나이) : 45~85세 3. 해지환급금, 사업비 및 비용 정보 예시 기준 - 거치형, 가입나이 55세, 65세 연금개시  펀드편입비율 S자산배분형 100% 선택, 투자수익률 2.5% □ 선택기재사항 1. 납입기간: 일시납  - 계약체결비용 5년동안 매월 차감",1588-3114,변액_저축성_상품비교_20260608162219800.xls,삼성생명,삼성 탄탄한 변액연금보험(2601)(무배당)[최저연금보증형],10,"50,000,000 원","48,501,630 원",97.00 %,"48,501,630 원","48,506,250 원",97.01 %,"48,506,250 원",-32.10 %,-3.00 %,9.83 %,8.77 %,0.0116 %,2.85 %,15.21 %,0.00 %,거치,비유니버셜,일시납,대면채널,2026-01-01,"□ 필수기재사항 1. 가입나이 : 만15세~(연금지급개시나이-10)세  2. 보험기간(연금지급개시나이) : 45~85세 3. 해지환급금, 사업비 및 비용 정보 예시 기준 - 거치형, 가입나이 55세, 65세 연금개시  펀드편입비율 S자산배분형 100% 선택, 투자수익률 2.5% □ 선택기재사항 1. 납입기간: 일시납  - 계약체결비용 5년동안 매월 차감",1588-3114,,,,,
삼성생명,삼성 탄탄한 변액연금보험(2601)(무배당)[최저연금보증형],1,"3,600,000 원","2,680,280 원",74.45 %,"2,104,280 원","2,680,390 원",74.46 %,,,대면채널,2026-01-01,"□ 필수기재사항 1. 가입나이 - 만15세~(연금지급개시나이-납입기간-5)세 2. 보험기간(연금지급개시나이) : 45~85세 3. 해약환급금 사업비 및 비용 정보 예시 기준 - 적립형, 가입나이 40세, 납입기간 10년, 60세 연금개시, 펀드투입비율 S자산배분형 100% 선택, 투자수익률 2.50% 4. 최저연금(최저실적배당종신연금) 보증비용은 적립금비례 보증비용 외 매년 보험료총액의 2.10%(10년 이내), 0.45%(10년 초과) 부과 □ 선택기재사항 1. 납입기간 : 5/7/10/12/15/20/25/30년납",1588-3114,변액_저축성_상품비교_20260608162219800.xls,삼성생명,삼성 탄탄한 변액연금보험(2601)(무배당)[최저연금보증형],1,"3,600,000 원","2,680,280 원",74.45 %,"2,104,280 원","2,680,390 원",74.46 %,"2,104,390 원",-26.98 %,-25.55 %,-25.04 %,8.48 %,0.0040 %,0.10 %,17.99 %,0.00 %,적립,비유니버셜,월납,대면채널,2026-01-01,"□ 필수기재사항 1. 가입나이 - 만15세~(연금지급개시나이-납입기간-5)세 2. 보험기간(연금지급개시나이) : 45~85세 3. 해약환급금 사업비 및 비용 정보 예시 기준 - 적립형, 가입나이 40세, 납입기간 10년, 60세 연금개시, 펀드투입비율 S자산배분형 100% 선택, 투자수익률 2.50% 4. 최저연금(최저실적배당종신연금) 보증비용은 적립금비례 보증비용 외 매년 보험료총액의 2.10%(10년 이내), 0.45%(10년 초과) 부과 □ 선택기재사항 1. 납입기간 : 5/7/10/12/15/20/25/30년납",1588-3114,,,,,
삼성생명,삼성 탄탄한 변액연금보험(2601)(무배당)[최저연금보증형],3,"10,800,000 원","7,847,020 원",72.66 %,"7,463,020 원","7,847,350 원",72.66 %,,,대면채널,2026-01-01,"□ 필수기재사항 1. 가입나이 - 만15세~(연금지급개시나이-납입기간-5)세 2. 보험기간(연금지급개시나이) : 45~85세 3. 해약환급금 사업비 및 비용 정보 예시 기준 - 적립형, 가입나이 40세, 납입기간 10년, 60세 연금개시, 펀드투입비율 S자산배분형 100% 선택, 투자수익률 2.50% 4. 최저연금(최저실적배당종신연금) 보증비용은 적립금비례 보증비용 외 매년 보험료총액의 2.10%(10년 이내), 0.45%(10년 초과) 부과 □ 선택기재사항 1. 납입기간 : 5/7/10/12/15/20/25/30년납",1588-3114,변액_저축성_상품비교_20260608162219800.xls,삼성생명,삼성 탄탄한 변액연금보험(2601)(무배당)[최저연금보증형],3,"10,800,000 원","7,847,020 원",72.66 %,"7,463,020 원","7,847,350 원",72.66 %,"7,463,350 원",-31.17 %,-27.34 %,-25.94 %,8.48 %,0.0040 %,0.32 %,21.32 %,0.00 %,적립,비유니버셜,월납,대면채널,2026-01-01,"□ 필수기재사항 1. 가입나이 - 만15세~(연금지급개시나이-납입기간-5)세 2. 보험기간(연금지급개시나이) : 45~85세 3. 해약환급금 사업비 및 비용 정보 예시 기준 - 적립형, 가입나이 40세, 납입기간 10년, 60세 연금개시, 펀드투입비율 S자산배분형 100% 선택, 투자수익률 2.50% 4. 최저연금(최저실적배당종신연금) 보증비용은 적립금비례 보증비용 외 매년 보험료총액의 2.10%(10년 이내), 0.45%(10년 초과) 부과 □ 선택기재사항 1. 납입기간 : 5/7/10/12/15/20/25/30년납",1588-3114,,,,,
삼성생명,삼성 탄탄한 변액연금보험(2601)(무배당)[최저연금보증형],5,"18,000,000 원","13,093,730 원",72.74 %,"12,901,730 원","13,094,280 원",72.75 %,,,대면채널,2026-01-01,"□ 필수기재사항 1. 가입나이 - 만15세~(연금지급개시나이-납입기간-5)세 2. 보험기간(연금지급개시나이) : 45~85세 3. 해약환급금 사업비 및 비용 정보 예시 기준 - 적립형, 가입나이 40세, 납입기간 10년, 60세 연금개시, 펀드투입비율 S자산배분형 100% 선택, 투자수익률 2.50% 4. 최저연금(최저실적배당종신연금) 보증비용은 적립금비례 보증비용 외 매년 보험료총액의 2.10%(10년 이내), 0.45%(10년 초과) 부과 □ 선택기재사항 1. 납입기간 : 5/7/10/12/15/20/25/30년납",1588-3114,변액_저축성_상품비교_20260608162219800.xls,삼성생명,삼성 탄탄한 변액연금보험(2601)(무배당)[최저연금보증형],5,"18,000,000 원","13,093,730 원",72.74 %,"12,901,730 원","13,094,280 원",72.75 %,"12,902,280 원",-33.41 %,-27.26 %,-24.93 %,8.48 %,0.0040 %,0.53 %,22.78 %,0.00 %,적립,비유니버셜,월납,대면채널,2026-01-01,"□ 필수기재사항 1. 가입나이 - 만15세~(연금지급개시나이-납입기간-5)세 2. 보험기간(연금지급개시나이) : 45~85세 3. 해약환급금 사업비 및 비용 정보 예시 기준 - 적립형, 가입나이 40세, 납입기간 10년, 60세 연금개시, 펀드투입비율 S자산배분형 100% 선택, 투자수익률 2.50% 4. 최저연금(최저실적배당종신연금) 보증비용은 적립금비례 보증비용 외 매년 보험료총액의 2.10%(10년 이내), 0.45%(10년 초과) 부과 □ 선택기재사항 1. 납입기간 : 5/7/10/12/15/20/25/30년납",1588-3114,,,,,
